UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
  107910   Words
   84873   Misrecognized
   21.35%  Accuracy

Stopwords
   Count   Missed   %Right   Length
    2084     1425    31.62        1
    2342     1421    39.33        2
     636      556    12.58        3
     170      146    14.12        4
    5232     3548    32.19    Total

Non-stopwords
   Count   Missed   %Right   Length
    8234     4253    48.35        1
   23188    16632    28.27        2
   27294    21468    21.35        3
   13238    11295    14.68        4
   11514    10009    13.07        5
    7164     6413    10.48        6
    4628     4247     8.23        7
    3026     2819     6.84        8
    1944     1843     5.20        9
    1082     1024     5.36       10
     714      682     4.48       11
     334      326     2.40       12
     174      170     2.30       13
      64       64     0.00       14
      48       48     0.00       15
      24       24     0.00       16
       4        4     0.00       17
       2        2     0.00       18
       2        2     0.00       19
  102678    81325    20.80    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   47554    41434    12.87        1
    7066     4700    33.48        2
    2684     1292    51.86        3
    1470      553    62.38        4
    1032      291    71.80        5
     606      185    69.47        6
     452       90    80.09        7
     316       48    84.81        8
     270       46    82.96        9
     200       16    92.00       10
     608       38    93.75      >10
   62258    48693    21.79    Total

Phrases
   Count   Missed   %Right   Length
  107910    84873    21.35        1
  107564    96202    10.56        2
  107218   100202     6.54        3
  106872   102361     4.22        4
  106526   103590     2.76        5
  106180   104341     1.73        6
  105834   104676     1.09        7
  105488   104782     0.67        8

Stopwords
   Count   Missed   %Right   
      24       16    33.33   a
      72       60    16.67   all
      18       12    33.33   an
    2142     1291    39.73   at
       2        0   100.00   be
       2        0   100.00   do
       4        4     0.00   for
       2        2     0.00   her
    2060     1409    31.60   i
     116       64    44.83   in
       6        6     0.00   just
       2        2     0.00   like
     432      364    15.74   man
      10       10     0.00   may
       4        4     0.00   me
       2        2     0.00   or
     110      110     0.00   see
       6        6     0.00   the
      14       14     0.00   then
      14       10    28.57   to
      42       38     9.52   up
     148      124    16.22   will

Non-stopwords
   Count   Missed   %Right   
       2        2     0.00   abaris
       2        2     0.00   abyssiniska
       2        2     0.00   academia
      10       10     0.00   academien
       4        4     0.00   academier
       2        2     0.00   academiska
       2        2     0.00   academiske
       2        2     0.00   accidens
