Average:	 WordAccuracy: 0.09180787242317594 	 CharacterAccuracy: 0.540438350331441 
lb3026335_5_0162.txt 	 WordAccuracy: 0.054474708171206226 	 CharacterAccuracy: 0.610146862483311 
lb3026335_5_0048.txt 	 WordAccuracy: 0.0641025641025641 	 CharacterAccuracy: 0.591375770020533 
lb3026335_5_0043.txt 	 WordAccuracy: 0.056291390728476824 	 CharacterAccuracy: 0.638764044943820 
lb3026335_5_0031.txt 	 WordAccuracy: 0.03804347826086957 	 CharacterAccuracy: 0.504897595725734 
lb3026335_5_0013.txt 	 WordAccuracy: 0.15112540192926044 	 CharacterAccuracy: 0.638709677419354 
lb3026335_5_0170.txt 	 WordAccuracy: 0.056179775280898875 	 CharacterAccuracy: 0.574229691876750 
lb3026335_5_0189.txt 	 WordAccuracy: 0.19811320754716982 	 CharacterAccuracy: 0.657324167107350 
lb3026335_5_0014.txt 	 WordAccuracy: 0.056666666666666664 	 CharacterAccuracy: 0.631520532741398 
lb3026335_5_0067.txt 	 WordAccuracy: 0.0945945945945946 	 CharacterAccuracy: 0.569832402234636 
lb3026335_5_0010.txt 	 WordAccuracy: 0.02962962962962963 	 CharacterAccuracy: 0.1153846153846153 
lb3026335_5_0078.txt 	 WordAccuracy: 0.14733542319749215 	 CharacterAccuracy: 0.671240105540897 
lb3026335_5_0198.txt 	 WordAccuracy: 0.10921501706484642 	 CharacterAccuracy: 0.577753182069728 
lb3026335_5_0023.txt 	 WordAccuracy: 0.3333333333333333 	 CharacterAccuracy: 0.712066905615292 
lb3026335_5_0052.txt 	 WordAccuracy: 0.09602649006622517 	 CharacterAccuracy: 0.575757575757575 
lb3026335_5_0124.txt 	 WordAccuracy: 0.13707165109034267 	 CharacterAccuracy: 0.600642398286937 
lb3026335_5_0054.txt 	 WordAccuracy: 0.11513157894736842 	 CharacterAccuracy: 0.65046935394809 
lb3026335_5_0128.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.559220389805097 
lb3026335_5_0060.txt 	 WordAccuracy: 0.0718954248366013 	 CharacterAccuracy: 0.4574036511156186 
lb3026335_5_0146.txt 	 WordAccuracy: 0.06818181818181818 	 CharacterAccuracy: 0.607547169811320 
lb3026335_5_0197.txt 	 WordAccuracy: 0.08090614886731391 	 CharacterAccuracy: 0.501041666666666 
lb3026335_5_0007.txt 	 WordAccuracy: 0.066006600660066 	 CharacterAccuracy: 0.556152606125738 
lb3026335_5_0096.txt 	 WordAccuracy: 0.09292035398230089 	 CharacterAccuracy: 0.553610503282275 
lb3026335_5_0070.txt 	 WordAccuracy: 0.08833922261484099 	 CharacterAccuracy: 0.54008191925102 
lb3026335_5_0085.txt 	 WordAccuracy: 0.12012987012987013 	 CharacterAccuracy: 0.671552660152008 
lb3026335_5_0180.txt 	 WordAccuracy: 0.08680555555555555 	 CharacterAccuracy: 0.628617363344051 
lb3026335_5_0160.txt 	 WordAccuracy: 0.09565217391304348 	 CharacterAccuracy: 0.593655589123867 
lb3026335_5_0149.txt 	 WordAccuracy: 0.13953488372093023 	 CharacterAccuracy: 0.646233766233766 
lb3026335_5_0103.txt 	 WordAccuracy: 0.10652920962199312 	 CharacterAccuracy: 0.577918343875790 
