UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
    8402   Words
    6247   Misrecognized
   25.65%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     189       68    64.02        1
     192       65    66.15        2
      30       14    53.33        3
      13       13     0.00        4
     424      160    62.26    Total

Non-stopwords
   Count   Missed   %Right   Length
     638      311    51.25        1
    1813     1142    37.01        2
    2149     1680    21.82        3
     986      820    16.84        4
     877      737    15.96        5
     556      504     9.35        6
     363      338     6.89        7
     226      209     7.52        8
     161      149     7.45        9
      98       94     4.08       10
      60       57     5.00       11
      28       23    17.86       12
      13       13     0.00       13
       3        3     0.00       14
       4        4     0.00       15
       2        2     0.00       16
       1        1     0.00       17
    7978     6087    23.70    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    3748     3208    14.41        1
     571      376    34.15        2
     199       98    50.75        3
     128       52    59.38        4
      62       24    61.29        5
      48       26    45.83        6
      30       11    63.33        7
      26        9    65.38        8
      25       10    60.00        9
      16        1    93.75       10
      43        8    81.40      >10
    4896     3823    21.92    Total

Phrases
   Count   Missed   %Right   Length
    8402     6247    25.65        1
    8374     7663     8.49        2
    8346     8103     2.91        3
    8318     8236     0.99        4
    8290     8260     0.36        5
    8262     8248     0.17        6
    8234     8229     0.06        7
    8206     8204     0.02        8

Stopwords
   Count   Missed   %Right   
       3        2    33.33   all
       2        2     0.00   an
     177       58    67.23   at
       1        0   100.00   be
     189       68    64.02   i
      10        5    50.00   in
       1        1     0.00   just
      22        7    68.18   man
       5        5     0.00   see
       2        0   100.00   up
      12       12     0.00   will

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   academia
       2        2     0.00   academien
       2        2     0.00   ach
       6        5    16.67   ack
       1        1     0.00   ackt
       1        1     0.00   actus
       5        5     0.00   adam
       1        1     0.00   adel
       1        1     0.00   adeliga
       1        1     0.00   adelsman
       1        1     0.00   adelsmã
       1        1     0.00   advocat
      65       12    81.54   af
       1        1     0.00   afbildar
       1        1     0.00   afdelningar
       1        1     0.00   affecter
       2        1    50.00   afgrunden
       1        1     0.00   afguda
       2        2     0.00   afhã
       1        1     0.00   aflas
       1        1     0.00   aflã
       1        0   100.00   afmã
       1        1     0.00   afvunden
