UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   14206   Words
   10704   Misrecognized
   24.65%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     192       83    56.77        1
     304      140    53.95        2
     150       82    45.33        3
      53       53     0.00        4
     699      358    48.78    Total

Non-stopwords
   Count   Missed   %Right   Length
    2610     2101    19.50        1
    2737     1753    35.95        2
    2740     2036    25.69        3
    1683     1363    19.01        4
    1398     1087    22.25        5
     990      856    13.54        6
     585      499    14.70        7
     333      283    15.02        8
     216      189    12.50        9
     105       89    15.24       10
      64       52    18.75       11
      23       18    21.74       12
      20       17    15.00       13
       1        1     0.00       14
       2        2     0.00       15
   13507    10346    23.40    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    5757     4671    18.86        1
     895      615    31.28        2
     354      196    44.63        3
     158       87    44.94        4
     105       43    59.05        5
      74       26    64.86        6
      44       12    72.73        7
      36       10    72.22        8
      20        8    60.00        9
      16        2    87.50       10
     114       41    64.04      >10
    7573     5711    24.59    Total

Phrases
   Count   Missed   %Right   Length
   14206    10704    24.65        1
   14164    12943     8.62        2
   14122    13693     3.04        3
   14080    13921     1.13        4
   14038    13964     0.53        5
   13996    13958     0.27        6
   13954    13934     0.14        7
   13912    13898     0.10        8

Stopwords
   Count   Missed   %Right   
      30       30     0.00   a
      13        7    46.15   all
      11        5    54.55   an
       3        3     0.00   are
       6        6     0.00   as
     171       39    77.19   at
       4        4     0.00   be
       1        1     0.00   by
       5        0   100.00   for
       1        0   100.00   get
       1        1     0.00   he
       1        1     0.00   her
     162       53    67.28   i
      53       33    37.74   in
       3        2    33.33   is
      10       10     0.00   it
       1        1     0.00   like
      75       22    70.67   man
       2        2     0.00   may
       4        3    25.00   me
       2        0   100.00   no
       1        0   100.00   of
      26       26     0.00   on
       1        1     0.00   or
      49       46     6.12   the
      11       11     0.00   them
      38       38     0.00   then
       2        2     0.00   to
       4        4     0.00   up
       4        3    25.00   us
       1        1     0.00   was
       3        3     0.00   will

Non-stopwords
   Count   Missed   %Right   
       2        1    50.00   ab
       1        1     0.00   abbotiã
       1        1     0.00   ablad
       1        1     0.00   ac
       1        0   100.00   academien
       1        1     0.00   achtar
       2        2     0.00   achtas
       1        1     0.00   ack
       2        2     0.00   adamus
       4        4     0.00   ade
       1        1     0.00   adelen
       1        1     0.00   adelgunda
       1        1     0.00   adelsman
       1        1     0.00   aderton
       1        1     0.00   adjecti
       1        1     0.00   adt
       1        1     0.00   adwo
       2        2     0.00   ae
       1        1     0.00   aeademier
       1        1     0.00   aeneae
       1        0   100.00   aeru
       1        1     0.00   aeå
     103       20    80.58   af
      14        8    42.86   aff
       1        0   100.00   affeldige
       1        1     0.00   affmã
       2        2     0.00   affå
       1        1     0.00   afgift
       1        0   100.00   afgiort
       1        1     0.00   afgjã
       1        1     0.00   afgudadyrkare
       1        1     0.00   afgudens
       1        1     0.00   afgudomen
       1        1     0.00   aflif
       1        0   100.00   afmã
       1        1     0.00   aften
       1        1     0.00   afwund
       1        1     0.00   afwunden
       1        1     0.00   afwã
       9        9     0.00   afå
       1        1     0.00   aga
       4        4     0.00   agdt
       1        1     0.00   agor
       1        1     0.00   agricolari
       2        2     0.00   agt
       1        1     0.00   aija
       2        2     0.00   ak
       2        2     0.00   akad
       1        1     0.00   akade
       1        1     0.00   akar
       3        3     0.00   aken
       2        2     0.00   aker
       1        1     0.00   akerne
       1        1     0.00   akt
       1        1     0.00   aktå
       6        6     0.00   ala
       1        1     0.00   albano
       5        5     0.00   aldeles
       1        1     0.00   aldrabã
       1        1     0.00   aldraå
       1        1     0.00   alexan
       1        1     0.00   alexandro
       1        1     0.00   alexipharmaca
       1        1     0.00   alfware
       1        1     0.00   alfwares
       1        1     0.00   algement
       1        1     0.00   aligen
       1        0   100.00   alium
      20       11    45.00   alla
       1        1     0.00   allahanda
       1        1     0.00   allaå
       4        3    25.00   alle
      10       10     0.00   allenaå
       1        0   100.00   allmogen
       2        2     0.00   allmã
       1        1     0.00   almar
       2        1    50.00   almogen
       2        2     0.00   almã
       8        8     0.00   aln
       2        2     0.00   alnar
       1        1     0.00   alnars
       2        2     0.00   alnen
       1        1     0.00   alsmã
       1        1     0.00   alswã
      21        8    61.90   alt
       1        1     0.00   altaret
       4        4     0.00   altid
       2        2     0.00   altå
       2        1    50.00   am
       1        1     0.00   ama
       1        0   100.00   amara
       1        1     0.00   ambla
       1        0   100.00   amen
       1        1     0.00   amhet
       1        1     0.00   amheter
       1        1     0.00   amiochia
       1        1     0.00   amlingen
       1        1     0.00   amlingens
       1        1     0.00   amlings
      21       21     0.00   amma
       3        3     0.00   amman
       2        2     0.00   ammanå
       1        1     0.00   ammaå
       1        1     0.00   amme
       1        1     0.00   amrã
      19       19     0.00   amt
       1        1     0.00   amtal
       1        1     0.00   amtida
       1        1     0.00   amtycke
       1        1     0.00   amus
       1        0   100.00   anbelangar
       1        1     0.00   andan
       1        1     0.00   ande
      23       19    17.39   andra
       1        1     0.00   andragas
       1        1     0.00   andre
       1        1     0.00   androm
       1        1     0.00   anfeende
       1        1     0.00   anferdig
       6        2    66.67   anfã
       1        1     0.00   ang
       1        1     0.00   angelã
       2        2     0.00   angripas
       7        2    71.43   angã
       1        1     0.00   anklagande
       1        1     0.00   ankom
       1        1     0.00   anlagd
       2        2     0.00   anledning
       1        1     0.00   anlã
       1        1     0.00   anmodan
       1        0   100.00   anmã
       1        1     0.00   anna
       1        0   100.00   annan
       2        2     0.00   annar
       8        0   100.00   annat
       1        1     0.00   anningen
       2        0   100.00   annor
       1        0   100.00   anrope
       2        2     0.00   anrã
       1        1     0.00   ans
       2        2     0.00   ant
       1        0   100.00   antagen
       1        1     0.00   ante
       2        0   100.00   antingen
       1        0   100.00   antiquariens
       1        1     0.00   antiqui
       1        0   100.00   antonino
       1        1     0.00   anwender
       1        1     0.00   anwã
      24       24     0.00   anå
       1        1     0.00   ap
       1        1     0.00   apotheque
       3        3     0.00   apoå
       1        0   100.00   appetit
       1        0   100.00   approbe
      12       11     8.33   ar
       1        1     0.00   arbetar
       1        1     0.00   arbetare
       1        1     0.00   arbetarne
       1        0   100.00   arbete
       1        0   100.00   arbeten
       1        1     0.00   arbetet
       9        8    11.11   arbets
       1        1     0.00   arbot
       1        1     0.00   arcad
       1        1     0.00   archi
       1        1     0.00   area
       5        2    60.00   arf
       1        1     0.00   arga
       1        1     0.00   argeus
       1        1     0.00   arinnans
       1        0   100.00   arm
       1        1     0.00   armarne
       1        1     0.00   armodet
       1        1     0.00   arten
       2        1    50.00   arter
       1        1     0.00   aterkomå
       1        1     0.00   athanaå
       1        1     0.00   athen
       1        1     0.00   ats
       2        2     0.00   att
       1        1     0.00   atte
       2        2     0.00   atteå
       1        1     0.00   aub
       1        1     0.00   auction
       1        1     0.00   auctoren
       1        1     0.00   audacia
       1        1     0.00   audra
       1        1     0.00   augu
       1        1     0.00   auguå
       1        1     0.00   avarus
       1        1     0.00   avis
       1        1     0.00   ayllende
       3        3     0.00   aå
       1        1     0.00   b
       1        1     0.00   baak
       1        1     0.00   baakvgn
       1        1     0.00   baar
       2        2     0.00   babylon
       1        1     0.00   babylonier
       1        1     0.00   badda
       1        1     0.00   baka
       1        1     0.00   bakas
       1        1     0.00   balberare
       1        1     0.00   balearides
       1        0   100.00   ballancera
       1        1     0.00   balå
       1        1     0.00   baneå
       1        0   100.00   bar
       1        1     0.00   barbaroã
       1        1     0.00   barmhertighet
       3        0   100.00   barn
       1        1     0.00   barnom
       1        1     0.00   barnå
       1        0   100.00   baron
       1        0   100.00   bat
       1        1     0.00   baå
       1        1     0.00   becks
       1        1     0.00   bedagad
       1        1     0.00   bedragare
       1        1     0.00   bedrã
       1        1     0.00   befahra
       1        0   100.00   befallning
       1        1     0.00   befalning
       1        0   100.00   befinna
       2        1    50.00   befordran
       1        1     0.00   befordring
       1        1     0.00   befruckta
       1        1     0.00   befrukta
       1        0   100.00   befunnen
       1        0   100.00   befunnit
       1        0   100.00   befã
       1        0   100.00   begaf
       1        1     0.00   begge
       1        1     0.00   begrafwet
       1        1     0.00   begrep
       1        0   100.00   begripa
       1        1     0.00   begrofwa
       1        1     0.00   begrunda
       2        1    50.00   begã
       1        1     0.00   behagat
       1        1     0.00   behiertade
       3        2    33.33   behof
       1        1     0.00   beholler
       1        1     0.00   behollit
       3        3     0.00   behã
       1        1     0.00   bekant
       1        1     0.00   bekante
       1        1     0.00   bekom
       1        1     0.00   bekommit
       1        1     0.00   bekã
       1        1     0.00   belackare
       1        1     0.00   belefwad
       4        2    50.00   belã
       2        1    50.00   bemelte
       3        1    66.67   bemã
       2        0   100.00   ben
       1        1     0.00   beprã
       1        0   100.00   berget
       1        1     0.00   bergliot
       1        1     0.00   berã
       1        0   100.00   betager
       3        0   100.00   betala
       4        4     0.00   betalas
       1        1     0.00   betald
       1        1     0.00   betales
       1        0   100.00   betalning
       1        0   100.00   betalte
       1        1     0.00   betedt
       1        1     0.00   betenckia
       1        1     0.00   beter
       1        1     0.00   betienterne
       1        1     0.00   betraktandes
       1        1     0.00   bets
       1        1     0.00   betydan
       1        1     0.00   betydande
       2        2     0.00   betyder
       1        0   100.00   betã
       1        1     0.00   bewara
       1        1     0.00   bewarat
       1        1     0.00   bewiå
      23       23     0.00   beå
       3        3     0.00   bi
       1        0   100.00   bibehã
       3        3     0.00   bibel
       1        1     0.00   bibihã
       1        1     0.00   bibliå
       1        1     0.00   bijbehã
       1        0   100.00   billigt
       1        0   100.00   bitrã
       4        4     0.00   biã
      11       11     0.00   biå
       1        0   100.00   bjã
       1        1     0.00   bland
       1        1     0.00   blaå
      20        5    75.00   blef
       1        1     0.00   bleff
       1        1     0.00   blefwe
       1        1     0.00   blefwen
       6        6     0.00   blefwo
       1        1     0.00   bleka
       1        0   100.00   bli
       1        0   100.00   blif
      11       10     9.09   blifwa
       2        2     0.00   blifwandes
       3        3     0.00   blifwer
       1        1     0.00   blifwin
       5        5     0.00   blifwit
       1        1     0.00   blij
       1        1     0.00   blinde
       2        2     0.00   blod
       1        0   100.00   blott
       1        1     0.00   bloã
       4        4     0.00   bodhã
       1        1     0.00   boen
       1        1     0.00   bok
       1        1     0.00   bokå
       1        1     0.00   bononia
       2        2     0.00   boo
       4        4     0.00   borde
       1        1     0.00   borden
       1        1     0.00   bordet
       1        0   100.00   borg
       5        2    60.00   bort
       1        0   100.00   bortgiftes
       1        0   100.00   bortglã
       1        0   100.00   bortgã
       2        2     0.00   bot
       1        1     0.00   botade
       1        0   100.00   botat
       2        2     0.00   botwid
       2        2     0.00   botwids
       1        1     0.00   brabandå
       2        2     0.00   brakte
       1        1     0.00   brancher
       1        1     0.00   brand
       2        1    50.00   bref
       1        1     0.00   bremen
       2        2     0.00   bremenå
       1        1     0.00   brennã
       1        1     0.00   brigitta
       1        1     0.00   bringas
       1        1     0.00   brinnande
       1        1     0.00   brocader
       1        0   100.00   brod
       2        1    50.00   broder
       2        2     0.00   broders
       1        1     0.00   bru
       4        4     0.00   bruk
       2        2     0.00   bruka
       9        9     0.00   brukas
       2        2     0.00   brukat
       1        1     0.00   brukeliga
       1        1     0.00   bruket
       1        1     0.00   brul
       1        0   100.00   brunno
       1        0   100.00   brutlike
       1        1     0.00   brydde
       1        1     0.00   bryter
       8        7    12.50   brã
       1        1     0.00   bu
       1        1     0.00   bukar
       1        1     0.00   bundit
       2        1    50.00   burit
       2        2     0.00   buriå
       1        0   100.00   bygd
       2        2     0.00   bygde
      49       26    46.94   bã
      14        3    78.57   c
       1        1     0.00   caeå
       2        2     0.00   calculationer
       1        0   100.00   calor
       2        2     0.00   cammaren
       1        0   100.00   candela
       1        0   100.00   caneus
       1        0   100.00   canonizerade
       4        2    50.00   cap
       1        1     0.00   capel
       1        1     0.00   cappadocia
       1        1     0.00   cappadociae
       2        2     0.00   car
       1        0   100.00   carl
       1        1     0.00   carls
       2        2     0.00   carolus
       1        1     0.00   cat
       1        1     0.00   cautel
       4        4     0.00   caå
       1        0   100.00   celter
      13        3    76.92   cent
       1        1     0.00   centen
       1        1     0.00   chalon
       1        1     0.00   char
       1        1     0.00   chiã
       1        1     0.00   chr
       1        1     0.00   chri
      12       12     0.00   chriå
       1        1     0.00   chryå
       1        1     0.00   chte
       1        1     0.00   ciplar
       1        1     0.00   ck
       3        3     0.00   cka
       1        1     0.00   ckas
       1        1     0.00   ckelig
       1        1     0.00   ckelige
       2        2     0.00   cker
       1        1     0.00   cket
       1        1     0.00   ckligt
       1        1     0.00   ckt
       1        1     0.00   ckte
       1        1     0.00   cktelå
       1        1     0.00   cktes
       1        1     0.00   cktig
       1        1     0.00   ckå
       1        1     0.00   clara
       1        1     0.00   clauå
       1        1     0.00   co
       1        0   100.00   colique
       1        1     0.00   com
       2        1    50.00   compa
       1        1     0.00   compagni
       1        1     0.00   compagnie
      11        6    45.45   compagniet
       1        1     0.00   compagniets
       1        0   100.00   con
       1        1     0.00   conditioner
       1        1     0.00   conf
       1        0   100.00   contra
       1        1     0.00   contraband
      10       10     0.00   conå
       1        1     0.00   cor
       1        0   100.00   cordial
       1        1     0.00   courantaå
       1        0   100.00   credit
       1        1     0.00   cribere
       1        1     0.00   cronan
       5        5     0.00   cronans
       1        0   100.00   cronhielm
       1        1     0.00   ctat
       1        1     0.00   ctroy
       1        0   100.00   cui
       1        1     0.00   cul
       1        1     0.00   cum
       2        2     0.00   cã
      16       16     0.00   d
      12       10    16.67   da
       3        3     0.00   dag
       2        2     0.00   dageligen
       8        7    12.50   dagen
       1        0   100.00   dagh
       1        0   100.00   daglict
      24       23     4.17   daler
      15       11    26.67   dan
       6        5    16.67   dana
       1        1     0.00   dande
       1        1     0.00   dandes
       7        7     0.00   dane
       8        8     0.00   dannemark
      13       12     7.69   dant
       1        1     0.00   danå
       1        1     0.00   dar
