UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
    3100   Words
    1642   Misrecognized
   47.03%  Accuracy

Stopwords
   Count   Missed   %Right   Length
      74       24    67.57        1
      60       24    60.00        2
       9        4    55.56        3
       7        4    42.86        4
     150       56    62.67    Total

Non-stopwords
   Count   Missed   %Right   Length
     237       57    75.95        1
     662      307    53.63        2
     794      388    51.13        3
     398      234    41.21        4
     328      190    42.07        5
     215      151    29.77        6
     115       94    18.26        7
      89       68    23.60        8
      50       44    12.00        9
      33       28    15.15       10
      16       14    12.50       11
       5        3    40.00       12
       5        5     0.00       13
       2        2     0.00       14
       1        1     0.00       15
    2950     1586    46.24    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    1376      902    34.45        1
     195       62    68.21        2
      82       16    80.49        3
      43        6    86.05        4
      28        3    89.29        5
      17        5    70.59        6
      16        0   100.00        7
       9        2    77.78        8
       6        2    66.67        9
       7        0   100.00       10
      15        0   100.00      >10
    1794      998    44.37    Total

Phrases
   Count   Missed   %Right   Length
    3100     1642    47.03        1
    3090     2257    26.96        2
    3080     2593    15.81        3
    3070     2777     9.54        4
    3060     2879     5.92        5
    3050     2933     3.84        6
    3040     2957     2.73        7
    3030     2970     1.98        8

Stopwords
   Count   Missed   %Right   
       1        1     0.00   all
       2        2     0.00   an
      54       21    61.11   at
      74       24    67.57   i
       4        1    75.00   in
       7        2    71.43   man
       1        1     0.00   see
       7        4    42.86   will

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   ackt
       1        1     0.00   adam
       1        1     0.00   adel
       1        1     0.00   adeliga
       1        1     0.00   adelsman
       1        1     0.00   adelsmã
      23       14    39.13   af
       1        1     0.00   afdelningar
       1        1     0.00   afguda
       1        1     0.00   afsatt
       3        3     0.00   afwund
       2        2     0.00   afwunden
       2        2     0.00   aldeles
       5        2    60.00   aldrig
       4        3    25.00   alla
       3        3     0.00   allenast
       3        1    66.67   allmã
       1        1     0.00   allting
       8        3    62.50   alt
       1        0   100.00   alterationer
       3        1    66.67   altid
       2        2     0.00   alwarsamt
       1        1     0.00   amsterdam
       1        1     0.00   andelig
       9        2    77.78   andra
       1        1     0.00   angelã
       2        0   100.00   angã
       2        1    50.00   annat
       2        2     0.00   anseende
       1        1     0.00   anseenligare
       1        1     0.00   ansenligen
       4        3    25.00   antingen
       1        1     0.00   apelles
       1        0   100.00   argt
       1        1     0.00   argus
       1        0   100.00   ark
       1        1     0.00   arm
       1        1     0.00   aslaug
       1        1     0.00   assecurance
       3        3     0.00   assecurans
       2        2     0.00   auctorers
       1        1     0.00   barbarie
       1        0   100.00   barde
       2        2     0.00   barn
       1        1     0.00   barnet
       1        0   100.00   barnetuckt
       1        1     0.00   baroner
       1        1     0.00   bedia
       1        0   100.00   bedt
       1        1     0.00   befodra
       3        3     0.00   begge
       1        0   100.00   begripa
       2        1    50.00   begã
       1        1     0.00   beherska
       1        1     0.00   bekante
       1        0   100.00   bekymrad
       1        0   100.00   bekymrar
       1        0   100.00   bekã
       1        1     0.00   belã
       1        1     0.00   benen
       3        1    66.67   berã
       1        1     0.00   besparas
       1        1     0.00   bestã
       2        2     0.00   beswã
       1        0   100.00   betalar
       1        0   100.00   betã
       1        1     0.00   beurse
       1        1     0.00   bewisande
       1        1     0.00   bidraga
       1        1     0.00   biã
       1        1     0.00   blanden
       3        3     0.00   blef
       1        0   100.00   blefwo
       1        0   100.00   bli
       3        2    33.33   blifwa
       3        1    66.67   blifwit
       1        1     0.00   blind
       1        0   100.00   blinda
       1        0   100.00   blindhet
       1        1     0.00   blindning
       2        1    50.00   blir
       1        1     0.00   blomstertiden
       1        0   100.00   bo
       1        1     0.00   bod
       1        0   100.00   bodde
       2        2     0.00   bokhã
       1        0   100.00   bokwett
       1        1     0.00   bond
       1        0   100.00   boo
       1        0   100.00   bor
       1        0   100.00   bord
       1        1     0.00   borgerskap
       1        1     0.00   bort
       1        1     0.00   botandes
       1        1     0.00   bottnen
       1        1     0.00   bra
       1        1     0.00   brede
       1        1     0.00   bredewid
       2        2     0.00   bref
       1        1     0.00   brister
       2        0   100.00   bruka
       1        0   100.00   brunn
       1        1     0.00   bry
       1        0   100.00   brã
       1        1     0.00   budet
       1        1     0.00   budkaflan
       1        1     0.00   bur
       1        1     0.00   byggningar
       1        1     0.00   byggs
      16        6    62.50   bã
       1        1     0.00   camererare
       1        0   100.00   cammare
       1        1     0.00   canapã
       1        1     0.00   caracterizerade
       1        0   100.00   chicane
       1        1     0.00   ck
       1        1     0.00   ckandes
       1        1     0.00   ckar
       1        0   100.00   ckare
       1        1     0.00   ckt
       1        1     0.00   confusion
       2        2     0.00   contoir
       1        1     0.00   contoirs
       1        1     0.00   copia
       1        1     0.00   correspondera
       1        1     0.00   credit
       5        2    60.00   d
       2        1    50.00   da
       2        0   100.00   dag
       1        1     0.00   dagen
       1        1     0.00   daler
       4        0   100.00   dan
       2        0   100.00   dane
       1        1     0.00   dansade
       6        2    66.67   dant
       1        0   100.00   daterat
       1        0   100.00   dd
       1        1     0.00   ddare
      27       12    55.56   de
       3        1    66.67   del
       1        1     0.00   delmodighet
       1        1     0.00   delmodighetens
       2        0   100.00   delt
       5        2    60.00   dem
      39       12    69.23   den
       7        3    57.14   denna
       6        2    66.67   der
       1        0   100.00   deras
       2        2     0.00   deremot
       3        1    66.67   derfã
       1        1     0.00   derigenom
       1        1     0.00   dernesland
       1        1     0.00   derneslands
       2        1    50.00   derom
       1        0   100.00   derpã
       1        1     0.00   des
       5        5     0.00   dess
       1        1     0.00   dessa
       1        1     0.00   desse
      27       10    62.96   det
       5        1    80.00   detta
       1        0   100.00   dgas
       3        1    66.67   dig
       1        1     0.00   dimban
       1        1     0.00   dit
       1        0   100.00   dmiukhet
       1        1     0.00   dning
       1        0   100.00   doch
       3        1    66.67   dock
       1        1     0.00   domare
       1        1     0.00   domares
       1        1     0.00   dotter
       1        1     0.00   dren
       1        1     0.00   drottning
       1        1     0.00   dryga
       1        1     0.00   drã
       1        1     0.00   ds
       1        0   100.00   dt
       8        4    50.00   du
       1        1     0.00   dubbel
       2        2     0.00   dumhet
       1        1     0.00   dygd
       1        1     0.00   dyrkan
       1        1     0.00   dze
      18        6    66.67   dã
       2        2     0.00   eder
       1        1     0.00   edert
       2        2     0.00   effter
       4        2    50.00   efter
       1        1     0.00   eftersyn
       1        1     0.00   eftertankan
       1        0   100.00   efterã
       1        1     0.00   egen
       1        0   100.00   egennyttan
       1        0   100.00   egit
       4        4     0.00   ehr
       1        1     0.00   ehrenstrahl
       1        0   100.00   ehwem
       1        1     0.00   eljest
      10        0   100.00   eller
       1        1     0.00   emedlertid
       1        0   100.00   emellan
       1        0   100.00   emot
      46       10    78.26   en
       5        2    60.00   ena
       1        1     0.00   enas
       1        0   100.00   ende
       1        1     0.00   enrum
       1        1     0.00   ensligit
       1        1     0.00   er
       2        2     0.00   et
       3        3     0.00   etc
      17        6    64.71   ett
       4        2    50.00   ey
       1        1     0.00   fallbã
       1        1     0.00   falsk
       1        1     0.00   falskheten
       1        1     0.00   famn
       1        1     0.00   faseligt
       7        7     0.00   fast
       1        1     0.00   fasthet
       1        1     0.00   fastã
       1        0   100.00   fatta
       1        1     0.00   fattigdom
       1        1     0.00   fauteuiler
       1        1     0.00   favorits
       2        2     0.00   fick
       1        1     0.00   finger
       1        0   100.00   finglade
       1        0   100.00   fingo
       1        0   100.00   finner
       1        1     0.00   fiã
       1        1     0.00   flar
       1        0   100.00   flate
       2        1    50.00   flit
       1        0   100.00   flã
       1        1     0.00   fogdar
       1        0   100.00   fohr
       1        1     0.00   folck
       1        0   100.00   folk
       2        2     0.00   folket
       1        1     0.00   foster
       1        1     0.00   foten
