UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
    9906   Words
    4527   Misrecognized
   54.30%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     130       47    63.85        1
     205       91    55.61        2
      83       24    71.08        3
      46       24    47.83        4
     464      186    59.91    Total

Non-stopwords
   Count   Missed   %Right   Length
    2045      947    53.69        1
    1858      674    63.72        2
    1813      710    60.84        3
    1204      595    50.58        4
     937      456    51.33        5
     674      379    43.77        6
     412      235    42.96        7
     194      122    37.11        8
     149      102    31.54        9
      83       61    26.51       10
      48       39    18.75       11
      18       15    16.67       12
       5        4    20.00       13
       2        2     0.00       16
    9442     4341    54.02    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    3918     2038    47.98        1
     662      192    71.00        2
     253       40    84.19        3
     120        9    92.50        4
      70        5    92.86        5
      44        2    95.45        6
      28        0   100.00        7
      27        2    92.59        8
      15        2    86.67        9
       7        0   100.00       10
      80        2    97.50      >10
    5224     2292    56.13    Total

Phrases
   Count   Missed   %Right   Length
    9906     4527    54.30        1
    9876     6058    38.66        2
    9846     7036    28.54        3
    9816     7732    21.23        4
    9786     8246    15.74        5
    9756     8622    11.62        6
    9726     8886     8.64        7
    9696     9060     6.56        8

Stopwords
   Count   Missed   %Right   
      38       21    44.74   a
       3        0   100.00   all
      15       13    13.33   an
     123       46    62.60   at
       6        4    33.33   be
       1        0   100.00   for
       1        1     0.00   him
      92       26    71.74   i
      36       10    72.22   in
       1        1     0.00   is
       3        1    66.67   it
       1        1     0.00   long
      57       18    68.42   man
       3        3     0.00   me
       1        1     0.00   no
       6        3    50.00   on
       4        4     0.00   or
      21        5    76.19   the
       7        2    71.43   them
      38       21    44.74   then
       1        0   100.00   to
       3        2    33.33   up
       2        2     0.00   us
       1        1     0.00   we

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   ab
       1        1     0.00   abjicite
       1        1     0.00   abå
       1        1     0.00   academiae
       1        1     0.00   accenditur
       2        2     0.00   acht
       1        1     0.00   ack
       1        1     0.00   aconitum
       1        0   100.00   ad
       1        1     0.00   ade
       1        0   100.00   aderton
       1        1     0.00   adjecti
       1        1     0.00   adâ
       2        2     0.00   ae
       1        1     0.00   aeneid
       1        1     0.00   aequa
       1        1     0.00   aequalia
      70       15    78.57   af
       1        0   100.00   afbildas
      14       11    21.43   aff
       1        1     0.00   affecter
       1        1     0.00   afftagandhe
       1        0   100.00   affton
       1        1     0.00   affwã
       1        1     0.00   affã
       1        1     0.00   affå
       1        1     0.00   afgjã
       1        0   100.00   aflegne
       1        0   100.00   aflopp
       1        1     0.00   aflupit
       2        1    50.00   afmã
       1        0   100.00   afplockas
       1        1     0.00   afplã
       1        1     0.00   aft
       1        1     0.00   afwendt
       2        1    50.00   afå
       1        0   100.00   agde
       2        2     0.00   agdt
       1        0   100.00   agt
       1        0   100.00   ak
       1        0   100.00   akas
       1        0   100.00   akat
       3        0   100.00   aken
       5        5     0.00   aker
       1        0   100.00   akers
       1        0   100.00   aknar
       1        1     0.00   akt
       2        2     0.00   al
       1        1     0.00   ala
       5        2    60.00   aldeles
       1        0   100.00   aldrabã
       1        0   100.00   aldralã
       1        0   100.00   aldrig
       1        1     0.00   alexan
       1        1     0.00   alexandro
       1        1     0.00   algebraiå
       1        1     0.00   alia
      14        5    64.29   alla
       1        1     0.00   allahanda
       2        1    50.00   alldrafã
       7        3    57.14   alle
       5        2    60.00   allenaå
       1        1     0.00   alleå
       1        1     0.00   alm
       1        1     0.00   almogen
       2        2     0.00   aln
       1        1     0.00   alnars
       1        1     0.00   alrahã
       1        1     0.00   alsmã
      11        1    90.91   alt
       2        0   100.00   altid
       1        1     0.00   altijd
       1        1     0.00   altijdh
       6        3    50.00   altå
       5        4    20.00   am
       1        0   100.00   ambla
       1        1     0.00   ambling
       2        1    50.00   amlas
       1        1     0.00   amlat
      22        8    63.64   amma
       3        0   100.00   amman
       1        1     0.00   ammanblandade
       1        1     0.00   ammans
       1        1     0.00   amn
       1        1     0.00   amoen
       2        0   100.00   ampt
       6        1    83.33   amt
       1        1     0.00   amtycke
