UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
    8553   Words
    5429   Misrecognized
   36.53%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     195      149    23.59        1
     171      100    41.52        2
      56       34    39.29        3
      12        8    33.33        4
     434      291    32.95    Total

Non-stopwords
   Count   Missed   %Right   Length
     675      454    32.74        1
    1898     1191    37.25        2
    2083     1144    45.08        3
    1036      647    37.55        4
     909      563    38.06        5
     547      375    31.44        6
     367      280    23.71        7
     226      176    22.12        8
     151      121    19.87        9
      94       75    20.21       10
      75       57    24.00       11
      27       25     7.41       12
      12       12     0.00       13
      10        9    10.00       14
       6        6     0.00       15
       2        2     0.00       16
       1        1     0.00       17
    8119     5138    36.72    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    3800     2618    31.11        1
     554      234    57.76        2
     218       52    76.15        3
      95       13    86.32        4
      83        8    90.36        5
      56        3    94.64        6
      38        4    89.47        7
      29        1    96.55        8
      13        1    92.31        9
      12        1    91.67       10
      53        0   100.00      >10
    4951     2935    40.72    Total

Phrases
   Count   Missed   %Right   Length
    8553     5429    36.53        1
    8524     6832    19.85        2
    8495     7543    11.21        3
    8466     7922     6.43        4
    8437     8126     3.69        5
    8408     8229     2.13        6
    8379     8267     1.34        7
    8350     8278     0.86        8

Stopwords
   Count   Missed   %Right   
       4        3    25.00   a
       5        2    60.00   all
     158       89    43.67   at
     191      146    23.56   i
      10        8    20.00   in
      35       18    48.57   man
       5        5     0.00   may
      10        8    20.00   see
       1        1     0.00   the
       1        0   100.00   then
       1        1     0.00   to
       2        2     0.00   up
      11        8    27.27   will

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   academier
       2        1    50.00   ach
       2        0   100.00   ack
       4        1    75.00   adam
       1        1     0.00   adels
       1        0   100.00   adliga
       1        1     0.00   advocats
      71       35    50.70   af
       1        1     0.00   afdã
       1        1     0.00   affaire
       2        2     0.00   affairer
       1        1     0.00   affecter
       1        1     0.00   affecterade
       1        1     0.00   afgiã
       1        0   100.00   afguda
       1        0   100.00   afhã
       1        1     0.00   afklã
       1        1     0.00   afsicht
       1        1     0.00   afsickt
       1        1     0.00   afsikter
       1        1     0.00   afsky
       1        0   100.00   afspisa
       1        1     0.00   aftahl
       3        3     0.00   afwund
       2        1    50.00   afwunden
       1        1     0.00   afwã
       1        0   100.00   ahnor
       2        2     0.00   akt
       4        1    75.00   aldeles
       1        0   100.00   aldrabrantaste
       1        1     0.00   aldraminst
       4        3    25.00   aldrig
       1        1     0.00   alexander
       1        1     0.00   alfwarsamma
      18        6    66.67   alla
       1        1     0.00   allas
       1        0   100.00   allena
       5        2    60.00   allenast
       1        1     0.00   allernã
       6        5    16.67   allmã
       1        1     0.00   allstans
       1        0   100.00   almã
      19       10    47.37   alt
       8        6    25.00   altid
       1        1     0.00   alting
       1        1     0.00   altsammans
       1        0   100.00   alwarsam
       1        1     0.00   ambition
      13        5    61.54   andra
       2        2     0.00   andras
       1        0   100.00   anfallen
       1        0   100.00   angifwa
       2        2     0.00   angã
       1        1     0.00   anledning
       1        1     0.00   anlete
       2        1    50.00   anleten
       3        2    33.33   annan
       9        2    77.78   annat
       1        1     0.00   annors
       1        0   100.00   annorstã
       1        1     0.00   ansedd
       1        0   100.00   ansedde
       1        1     0.00   ansedt
       2        2     0.00   anseende
       3        2    33.33   anseenlig
       1        0   100.00   ansickte
       1        1     0.00   ansikten
       1        0   100.00   anstalter
       1        1     0.00   anstodo
       2        2     0.00   anstã
       1        1     0.00   antagit
       5        3    40.00   antingen
       1        0   100.00   antiquarier
       2        2     0.00   anwisning
       1        1     0.00   apelles
       1        0   100.00   april
       1        1     0.00   arbeta
       1        0   100.00   arbetade
       1        0   100.00   arbetades
       2        0   100.00   arbete
       2        2     0.00   arbeten
       1        1     0.00   arbetz
       1        1     0.00   arck
       1        0   100.00   arf
       1        1     0.00   arfwingar
       5        3    40.00   argus
       4        1    75.00   ark
       2        0   100.00   arken
       2        2     0.00   arket
       1        1     0.00   arks
       1        1     0.00   arktahls
       1        0   100.00   arktals
       1        0   100.00   arm
       1        1     0.00   armar
       1        0   100.00   arten
       1        1     0.00   artigt
       1        1     0.00   aspelã
       1        1     0.00   assecurans
       1        1     0.00   assecurantz
       1        1     0.00   assuradeurerna
       1        1     0.00   atheist
       1        0   100.00   atlantica
       1        1     0.00   auctor
       1        1     0.00   auctorer
       1        1     0.00   auctorers
       2        1    50.00   aug
       1        1     0.00   avance
       1        1     0.00   axlar
       1        1     0.00   axlarne
       1        1     0.00   bagateller
       1        0   100.00   balk
       5        3    40.00   barn
       1        1     0.00   barndom
       1        1     0.00   barnen
       1        1     0.00   barns
       1        1     0.00   barnsligit
       1        0   100.00   beder
       1        0   100.00   bedraga
       1        0   100.00   bedragne
       1        1     0.00   bedrã
       1        1     0.00   befaller
       1        1     0.00   beflitade
       1        0   100.00   beflã
       1        0   100.00   begge
       1        0   100.00   begiã
       1        0   100.00   begrep
       1        1     0.00   begynte
       2        1    50.00   begã
       2        1    50.00   behag
       3        1    66.67   behaga
       3        2    33.33   behagelig
       1        1     0.00   behageligit
       1        1     0.00   behaglighets
       1        1     0.00   beherska
       1        1     0.00   behielpelig
       4        2    50.00   behã
       1        0   100.00   bekantskaper
       1        0   100.00   bekomma
       1        0   100.00   bekymmersam
       1        1     0.00   belagde
       2        1    50.00   belã
       1        1     0.00   benen
       1        0   100.00   beredskap
       1        0   100.00   bergs
       1        1     0.00   bergzlag
       1        1     0.00   berius
       1        1     0.00   beror
       8        5    37.50   berã
       1        0   100.00   besee
       1        0   100.00   besinna
       1        1     0.00   beskiedelig
       1        1     0.00   beskiedeliga
       1        1     0.00   beskrifning
       1        0   100.00   beskrifwa
       1        1     0.00   beskrifwit
       1        0   100.00   beskyller
       1        1     0.00   beskã
       1        1     0.00   beslutat
       1        1     0.00   beslutit
       1        0   100.00   besparer
       1        0   100.00   bestod
       1        1     0.00   beswã
       1        1     0.00   besynnerliga
       1        0   100.00   betracktat
       1        0   100.00   betraktar
       1        1     0.00   betraktelser
       1        0   100.00   bettre
       2        2     0.00   betã
       1        1     0.00   bewektes
       1        1     0.00   bewis
       1        0   100.00   bewist
       1        1     0.00   bidragit
       1        1     0.00   bilda
       1        0   100.00   billiga
       1        1     0.00   billigt
       1        1     0.00   biuda
       6        3    50.00   bland
       4        4     0.00   blef
       5        4    20.00   blefwo
       6        5    16.67   bli
       5        3    40.00   blifwa
       1        1     0.00   blifwen
       5        5     0.00   blifwit
       1        0   100.00   blind
       2        2     0.00   blinda
       8        3    62.50   blir
       5        2    60.00   blod
       3        2    33.33   blott
       1        0   100.00   blotta
       1        1     0.00   bly
       1        0   100.00   blygd
       4        4     0.00   blã
       3        1    66.67   bo
       1        1     0.00   boende
       2        2     0.00   bok
       1        1     0.00   bokstafwen
       1        0   100.00   bonde
       1        1     0.00   boning
       1        1     0.00   boo
       4        1    75.00   bor
       1        1     0.00   bord
       1        1     0.00   borde
       4        3    25.00   borgare
       1        1     0.00   borgarne
       3        1    66.67   bort
       1        1     0.00   bortskiã
       1        1     0.00   bortslã
       1        1     0.00   bottnen
       1        1     0.00   braf
       1        1     0.00   brakte
       1        1     0.00   braskande
       2        2     0.00   bref
       1        0   100.00   bruk
       1        1     0.00   bruka
       2        2     0.00   brukas
       1        0   100.00   bruket
       2        1    50.00   brã
       1        1     0.00   bud
       1        0   100.00   budkaflan
       1        1     0.00   bullrade
       1        1     0.00   buss
       1        1     0.00   bussar
       1        1     0.00   bygga
       1        1     0.00   bygges
       1        1     0.00   byta
      31       21    32.26   bã
       1        1     0.00   c
       1        1     0.00   cabinetter
       1        1     0.00   caffe
       1        1     0.00   calami
       1        0   100.00   calculation
       1        0   100.00   calculerar
       1        1     0.00   calumnia
       2        2     0.00   caracter
       1        1     0.00   caresse
       1        1     0.00   caressen
       1        1     0.00   carl
       1        1     0.00   cavailler
       1        1     0.00   cavaillerement
       1        1     0.00   charta
       1        0   100.00   christen
       1        0   100.00   christne
       1        0   100.00   ck
       1        1     0.00   cka
       1        1     0.00   ckades
       1        1     0.00   ckar
       1        0   100.00   ckat
       2        2     0.00   ckelig
       1        1     0.00   ckeligt
       3        3     0.00   cken
       1        1     0.00   cker
       1        1     0.00   ckhet
       6        5    16.67   ckt
       1        0   100.00   cktat
       1        0   100.00   ckte
       1        1     0.00   ckter
       1        1     0.00   cktet
       1        1     0.00   cktigaste
       1        1     0.00   cktigste
       1        1     0.00   cktskap
       1        0   100.00   claudius
       1        1     0.00   climat
       1        1     0.00   comes
       1        1     0.00   commerce
       1        1     0.00   commissionaire
       1        1     0.00   commissionerernes
       1        1     0.00   compagnie
       1        1     0.00   compagniet
       1        1     0.00   comå
       1        1     0.00   contoiret
       1        1     0.00   contradictioner
       1        1     0.00   contrarium
       1        1     0.00   credit
       1        1     0.00   crediten
       1        1     0.00   creditive
       1        1     0.00   critiquer
       2        2     0.00   crona
       1        1     0.00   cronan
       1        0   100.00   cronor
       2        1    50.00   cã
       9        6    33.33   d
      10        8    20.00   da
       1        1     0.00   daar
       1        1     0.00   dade
       6        4    33.33   dag
       3        1    66.67   dagar
       1        1     0.00   dageliga
       3        1    66.67   dagen
       1        1     0.00   dager
       2        1    50.00   dal
       1        0   100.00   dammar
       6        1    83.33   dan
       2        2     0.00   dande
       6        5    16.67   dane
       2        2     0.00   dant
       1        1     0.00   dare
       1        0   100.00   darra
       2        2     0.00   ddare
       3        1    66.67   dde
       1        1     0.00   dder
     100       41    59.00   de
       1        1     0.00   dedrã
       2        0   100.00   dehl
       6        3    50.00   del
       1        0   100.00   delacktige
       1        0   100.00   delen
       1        1     0.00   delhet
       1        1     0.00   delmodigas
       1        1     0.00   delmodighet
       1        1     0.00   delmodighetens
       1        1     0.00   delstenar
       1        0   100.00   delt
      11        3    72.73   dem
      57       18    68.42   den
      15       10    33.33   denna
       1        0   100.00   denne
