UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
    9906   Words
    6545   Misrecognized
   33.93%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     130       73    43.85        1
     205      131    36.10        2
      83       28    66.27        3
      46       25    45.65        4
     464      257    44.61    Total

Non-stopwords
   Count   Missed   %Right   Length
    2045     1671    18.29        1
    1858     1131    39.13        2
    1813      980    45.95        3
    1204      808    32.89        4
     937      558    40.45        5
     674      460    31.75        6
     412      292    29.13        7
     194      145    25.26        8
     149      115    22.82        9
      83       66    20.48       10
      48       41    14.58       11
      18       15    16.67       12
       5        4    20.00       13
       2        2     0.00       16
    9442     6288    33.40    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
    3918     2694    31.24        1
     662      304    54.08        2
     253       93    63.24        3
     120       31    74.17        4
      70       15    78.57        5
      44        9    79.55        6
      28        0   100.00        7
      27        4    85.19        8
      15        4    73.33        9
       7        1    85.71       10
      80       29    63.75      >10
    5224     3184    39.05    Total

Phrases
   Count   Missed   %Right   Length
    9906     6545    33.93        1
    9876     8179    17.18        2
    9846     8956     9.04        3
    9816     9325     5.00        4
    9786     9501     2.91        5
    9756     9589     1.71        6
    9726     9621     1.08        7
    9696     9634     0.64        8

Stopwords
   Count   Missed   %Right   
      38       27    28.95   a
       3        0   100.00   all
      15        7    53.33   an
     123       69    43.90   at
       6        5    16.67   be
       1        0   100.00   for
       1        1     0.00   him
      92       46    50.00   i
      36       27    25.00   in
       1        1     0.00   is
       3        3     0.00   it
       1        1     0.00   long
      57       19    66.67   man
       3        3     0.00   me
       1        0   100.00   no
       6        6     0.00   on
       4        4     0.00   or
      21        8    61.90   the
       7        4    42.86   them
      38       20    47.37   then
       1        1     0.00   to
       3        2    33.33   up
       2        2     0.00   us
       1        1     0.00   we

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   ab
       1        0   100.00   abjicite
       1        1     0.00   abå
       1        1     0.00   academiae
       1        0   100.00   accenditur
       2        2     0.00   acht
       1        1     0.00   ack
       1        1     0.00   aconitum
       1        1     0.00   ad
       1        1     0.00   ade
       1        1     0.00   aderton
       1        1     0.00   adjecti
       1        1     0.00   adâ
       2        2     0.00   ae
       1        1     0.00   aeneid
       1        1     0.00   aequa
       1        1     0.00   aequalia
      70       14    80.00   af
       1        1     0.00   afbildas
      14       12    14.29   aff
       1        1     0.00   affecter
       1        1     0.00   afftagandhe
       1        1     0.00   affton
       1        1     0.00   affwã
       1        1     0.00   affã
       1        1     0.00   affå
       1        1     0.00   afgjã
       1        0   100.00   aflegne
       1        1     0.00   aflopp
       1        1     0.00   aflupit
       2        1    50.00   afmã
       1        1     0.00   afplockas
       1        0   100.00   afplã
       1        0   100.00   aft
       1        1     0.00   afwendt
       2        2     0.00   afå
       1        1     0.00   agde
       2        2     0.00   agdt
       1        1     0.00   agt
       1        1     0.00   ak
       1        1     0.00   akas
       1        1     0.00   akat
       3        3     0.00   aken
       5        5     0.00   aker
       1        1     0.00   akers
       1        1     0.00   aknar
       1        1     0.00   akt
       2        0   100.00   al
       1        1     0.00   ala
       5        5     0.00   aldeles
       1        1     0.00   aldrabã
       1        1     0.00   aldralã
       1        0   100.00   aldrig
       1        0   100.00   alexan
       1        1     0.00   alexandro
       1        1     0.00   algebraiå
       1        1     0.00   alia
      14        6    57.14   alla
       1        0   100.00   allahanda
       2        2     0.00   alldrafã
       7        5    28.57   alle
       5        5     0.00   allenaå
       1        1     0.00   alleå
       1        0   100.00   alm
       1        1     0.00   almogen
       2        2     0.00   aln
       1        1     0.00   alnars
       1        0   100.00   alrahã
       1        1     0.00   alsmã
      11        1    90.91   alt
       2        2     0.00   altid
       1        1     0.00   altijd
       1        1     0.00   altijdh
       6        6     0.00   altå
       5        4    20.00   am
       1        1     0.00   ambla
       1        1     0.00   ambling
       2        2     0.00   amlas
       1        1     0.00   amlat
      22       22     0.00   amma
       3        3     0.00   amman
       1        1     0.00   ammanblandade
       1        1     0.00   ammans
       1        1     0.00   amn
       1        1     0.00   amoen
       2        2     0.00   ampt
       6        6     0.00   amt
       1        1     0.00   amtycke
       1        1     0.00   ana
       1        1     0.00   anam
       1        1     0.00   anckor
       1        0   100.00   andar
       3        2    33.33   ande
       1        1     0.00   andes
      13        1    92.31   andra
       1        1     0.00   andragas
       7        1    85.71   andre
       2        1    50.00   anfã
       1        1     0.00   angri
       1        0   100.00   angã
       1        1     0.00   anitas
       3        1    66.67   anledning
       7        3    57.14   anm
       1        0   100.00   anmã
       3        0   100.00   annan
       6        0   100.00   annat
       1        1     0.00   annerligen
       1        1     0.00   annor
       2        2     0.00   anrã
       1        0   100.00   antagen
       1        0   100.00   antalet
       2        2     0.00   anthera
       4        4     0.00   antherae
       1        1     0.00   antheris
       4        2    50.00   antingen
       1        0   100.00   anwenda
       1        1     0.00   anwã
       5        5     0.00   anå
       1        1     0.00   aphelia
       1        0   100.00   apio
       2        2     0.00   apium
       1        1     0.00   apotheket
       1        1     0.00   appetiten
       9        7    22.22   ar
       1        1     0.00   arbetar
       1        1     0.00   arbetet
       2        2     0.00   arbets
       3        3     0.00   arbutus
       1        1     0.00   arctura
       1        0   100.00   armarna
       1        1     0.00   armeen
       1        1     0.00   arne
       1        1     0.00   arnes
       1        1     0.00   arroditur
       1        0   100.00   arter
       1        1     0.00   arum
       1        1     0.00   atilis
       1        1     0.00   atri
       1        1     0.00   ats
       8        5    37.50   att
       1        1     0.00   atteritur
       1        1     0.00   au
       2        2     0.00   auguå
       1        1     0.00   avarus
       1        1     0.00   axen
       4        4     0.00   aå
      17       17     0.00   b
       1        0   100.00   baar
       1        1     0.00   babilo
       1        0   100.00   bad
       1        0   100.00   balearides
       1        0   100.00   band
       1        0   100.00   bannor
       1        0   100.00   bar
       1        1     0.00   bara
       2        1    50.00   barbariet
       2        2     0.00   barn
       1        0   100.00   barndom
       1        0   100.00   barnom
       3        3     0.00   baå
       1        1     0.00   bedhiandes
       1        0   100.00   bedragen
       1        1     0.00   bedrifter
       1        0   100.00   befaller
       1        0   100.00   befalning
       1        0   100.00   befarar
       1        0   100.00   befria
       1        1     0.00   befrã
       3        1    66.67   befunnen
       1        0   100.00   befunnit
       1        1     0.00   befuã
       1        0   100.00   begrafwa
       2        2     0.00   begrijpa
       1        0   100.00   begynna
       2        2     0.00   begynnelå
       1        0   100.00   begynt
       2        0   100.00   begã
       1        0   100.00   behag
       1        1     0.00   beholla
       3        1    66.67   behã
       1        0   100.00   bekant
       1        0   100.00   bekom
       1        1     0.00   bekã
       1        0   100.00   belackare
       1        0   100.00   belagd
       2        2     0.00   belã
       1        0   100.00   ben
       1        0   100.00   benen
       2        2     0.00   ber
       1        1     0.00   bera
       1        1     0.00   berberis
       1        0   100.00   bereda
       1        0   100.00   beredha
       1        1     0.00   bergdun
       1        0   100.00   bergsbygden
       1        1     0.00   bernoulli
       2        1    50.00   berã
       2        0   100.00   betala
       4        2    50.00   betalas
       1        1     0.00   betalningen
       1        1     0.00   betenckia
       1        1     0.00   betrachtar
       3        3     0.00   betydher
       1        0   100.00   betzel
       2        2     0.00   betzlet
       1        1     0.00   betã
       2        2     0.00   bewiå
      19       19     0.00   beå
       1        1     0.00   bibliå
       1        1     0.00   bien
       2        2     0.00   bijå
       1        0   100.00   billigt
       1        1     0.00   bilocularis
       3        2    33.33   bilã
       1        1     0.00   biã
       2        0   100.00   blad
       2        2     0.00   bladet
       1        1     0.00   blan
       2        2     0.00   blef
       3        3     0.00   bleff
       1        0   100.00   blefwe
