UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   53955   Words
   41056   Misrecognized
   23.91%  Accuracy

Stopwords
   Count   Missed   %Right   Length
    1042      632    39.35        1
    1171      404    65.50        2
     318      199    37.42        3
      85       84     1.18        4
    2616     1319    49.58    Total

Non-stopwords
   Count   Missed   %Right   Length
    4117     1811    56.01        1
   11594     7599    34.46        2
   13647    11181    18.07        3
    6619     5706    13.79        4
    5757     4808    16.48        5
    3582     3241     9.52        6
    2314     2070    10.54        7
    1513     1383     8.59        8
     972      861    11.42        9
     541      473    12.57       10
     357      313    12.32       11
     167      149    10.78       12
      87       78    10.34       13
      32       27    15.62       14
      24       22     8.33       15
      12       12     0.00       16
       2        1    50.00       17
       1        1     0.00       18
       1        1     0.00       19
   51339    39737    22.60    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   23777    19961    16.05        1
    3533     2438    30.99        2
    1342      769    42.70        3
     735      384    47.76        4
     516      274    46.90        5
     303      173    42.90        6
     226      120    46.90        7
     158       78    50.63        8
     135       68    49.63        9
     100       42    58.00       10
     304       87    71.38      >10
   31129    24394    21.64    Total

Phrases
   Count   Missed   %Right   Length
   53955    41056    23.91        1
   53782    49525     7.92        2
   53609    52098     2.82        3
   53436    52834     1.13        4
   53263    52969     0.55        5
   53090    52928     0.31        6
   52917    52801     0.22        7
   52744    52650     0.18        8

Stopwords
   Count   Missed   %Right   
      12        3    75.00   a
      36       28    22.22   all
       9        4    55.56   an
    1071      355    66.85   at
       1        0   100.00   be
       1        1     0.00   do
       2        2     0.00   for
       1        1     0.00   her
    1030      629    38.93   i
      58       30    48.28   in
       3        3     0.00   just
       1        1     0.00   like
     216      105    51.39   man
       5        5     0.00   may
       2        0   100.00   me
       1        1     0.00   or
      55       55     0.00   see
       3        3     0.00   the
       7        7     0.00   then
       7        4    42.86   to
      21        9    57.14   up
      74       73     1.35   will

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   abaris
       1        1     0.00   abyssiniska
       1        0   100.00   academia
       5        1    80.00   academien
       2        1    50.00   academier
       1        1     0.00   academiska
       1        1     0.00   academiske
       1        1     0.00   accidens
       3        3     0.00   ach
       1        0   100.00   achillis
      16       16     0.00   ack
       1        1     0.00   ackt
       1        1     0.00   actus
       1        0   100.00   ad
      16        8    50.00   adam
       1        0   100.00   adams
       3        3     0.00   adel
       1        1     0.00   adelig
       1        1     0.00   adeliga
       1        1     0.00   adels
       2        2     0.00   adelsman
       1        1     0.00   adelsmã
       2        2     0.00   adliga
       1        1     0.00   adsm
       2        0   100.00   advocat
       2        2     0.00   advocater
       1        0   100.00   advocaters
       1        1     0.00   advocats
     416      121    70.91   af
       1        1     0.00   afbildad
       1        1     0.00   afbildade
       1        1     0.00   afbildar
       1        1     0.00   afbilden
       1        1     0.00   afbã
       1        1     0.00   afdelningar
       2        2     0.00   afdã
       1        0   100.00   affaire
       4        2    50.00   affairer
       1        1     0.00   affairerne
       1        1     0.00   affectation
       1        1     0.00   affectations
       2        2     0.00   affecter
       2        2     0.00   affecterade
       1        0   100.00   affton
       1        1     0.00   afftonward
       1        1     0.00   affã
       1        0   100.00   afgifft
       2        2     0.00   afgiã
       5        5     0.00   afgrunden
       2        2     0.00   afguda
       1        0   100.00   afgã
       4        4     0.00   afhã
       1        1     0.00   afklã
       1        1     0.00   aflagt
       1        1     0.00   aflas
       1        1     0.00   aflã
       5        2    60.00   afmã
       1        1     0.00   afresan
       1        1     0.00   afsaknad
       1        1     0.00   afsatt
       1        1     0.00   afsicht
       2        2     0.00   afsickt
       2        2     0.00   afsides
       6        6     0.00   afsikt
       1        1     0.00   afsikten
       4        4     0.00   afsikter
       2        2     0.00   afskied
       1        1     0.00   afskildrade
       1        1     0.00   afskrifft
       1        1     0.00   afsky
       1        1     0.00   afslã
       1        1     0.00   afspisa
       1        1     0.00   afstã
       1        1     0.00   afsã
       1        1     0.00   aftahl
       1        0   100.00   afton
       3        1    66.67   aftrã
       1        1     0.00   afvunden
       5        5     0.00   afwund
      34       34     0.00   afwunden
       1        1     0.00   afwundens
       2        2     0.00   afwundsiuka
       1        1     0.00   afwã
       1        1     0.00   aganippiska
       1        1     0.00   agare
       1        0   100.00   agerar
       1        0   100.00   agg
       1        1     0.00   ah
       1        1     0.00   ahlingsã
       1        1     0.00   ahnor
       1        0   100.00   aiax
       9        9     0.00   akt
       1        1     0.00   aktig
       1        1     0.00   aktning
       1        1     0.00   aktsam
       1        1     0.00   akttagas
       2        2     0.00   al
      21       21     0.00   aldeles
       1        1     0.00   aldrabrantaste
       1        1     0.00   aldrafullkomligaste
       1        1     0.00   aldraminst
       1        1     0.00   aldrastyggaste
      55       55     0.00   aldrig
       2        2     0.00   alenast
       1        0   100.00   alexander
       1        1     0.00   alfssons
       3        3     0.00   alfwarsam
       2        2     0.00   alfwarsamma
       2        2     0.00   alfwarsamt
     118       89    24.58   alla
       3        3     0.00   allas
       1        1     0.00   alldraswã
       3        3     0.00   allehanda
       4        3    25.00   allena
      37       37     0.00   allenast
       1        1     0.00   allernã
       1        1     0.00   alles
       2        2     0.00   allesamman
       1        1     0.00   allesammans
       1        1     0.00   allestã
       1        1     0.00   allmenneligen
      33       31     6.06   allmã
       1        1     0.00   allom
       1        1     0.00   allrafriaste
       1        1     0.00   allramã
       1        1     0.00   allstans
       1        1     0.00   allt
       4        3    25.00   allting
       1        0   100.00   allã
       2        2     0.00   almã
       1        0   100.00   aln
       1        1     0.00   alnen
       1        1     0.00   alphabeter
       1        1     0.00   alshã
       2        2     0.00   alsintet
       1        1     0.00   alskiã
       3        3     0.00   alstrare
     110       57    48.18   alt
       2        0   100.00   altare
       1        0   100.00   altenecks
       1        1     0.00   alterationer
       3        3     0.00   altfã
      53       52     1.89   altid
       2        0   100.00   altifrã
       1        1     0.00   alting
       1        0   100.00   altjã
       1        1     0.00   altsammans
       1        1     0.00   altsedan
       2        2     0.00   altsã
       2        1    50.00   alwar
       3        3     0.00   alwarsam
       1        1     0.00   alwarsamhet
       4        4     0.00   alwarsamma
       1        1     0.00   alwarsammare
       1        1     0.00   alwarsamme
       7        7     0.00   alwarsamt
       1        1     0.00   ambassadeur
       1        1     0.00   ambition
       1        1     0.00   amen
       1        0   100.00   amersfort
       1        1     0.00   amman
       4        4     0.00   amsterdam
       1        0   100.00   ana
       1        0   100.00   anagrammatizerade
       1        1     0.00   anatomizerandes
       4        4     0.00   anda
       2        2     0.00   andackt
       2        2     0.00   andades
       1        1     0.00   andakt
       3        3     0.00   andan
       1        1     0.00   andans
       1        1     0.00   andedrã
       1        1     0.00   andelig
       1        1     0.00   andeliga
       2        2     0.00   andelige
     102      102     0.00   andra
       8        8     0.00   andras
       1        1     0.00   andre
       1        1     0.00   andã
       1        1     0.00   anfall
       1        0   100.00   anfallen
       1        1     0.00   anfallne
       3        1    66.67   anfã
       1        1     0.00   ange
      10        7    30.00   angelã
       4        1    75.00   angenã
       1        1     0.00   angifwa
       1        0   100.00   angripa
      18        6    66.67   angã
       4        4     0.00   anledning
       2        2     0.00   anledningen
       1        1     0.00   anlete
       3        1    66.67   anleten
       1        1     0.00   anletens
       2        2     0.00   anletes
       1        1     0.00   anlopp
       1        1     0.00   anlã
       1        1     0.00   anmoda
       4        3    25.00   anmã
      28        7    75.00   annan
      76       25    67.11   annat
       1        1     0.00   annorledes
       3        3     0.00   annorlunda
       1        1     0.00   annors
       3        3     0.00   annorstã
       1        1     0.00   annã
       1        1     0.00   ans
       2        2     0.00   ansedd
       2        2     0.00   ansedde
       1        1     0.00   ansedt
       4        4     0.00   ansee
      18       18     0.00   anseende
       2        2     0.00   anseendet
       7        7     0.00   anseenlig
       1        1     0.00   anseenligare
       1        1     0.00   anseenligen
       1        1     0.00   anseenligit
       1        1     0.00   ansenlig
       1        1     0.00   ansenligen
       1        1     0.00   ansenligit
       3        3     0.00   anser
       2        2     0.00   anses
       1        1     0.00   ansickte
       1        1     0.00   ansicktet
       2        2     0.00   ansikte
       4        4     0.00   ansikten
       1        1     0.00   anstallt
       1        1     0.00   anstalt
       1        1     0.00   anstalter
       1        1     0.00   anstodo
      12       12     0.00   anstã
       1        1     0.00   ansã
       2        2     0.00   antaga
       1        0   100.00   antagit
       2        2     0.00   antahl
       1        0   100.00   ante
       1        0   100.00   antidote
      21       11    47.62   antingen
       1        0   100.00   antiquarier
       2        0   100.00   antog
       1        1     0.00   antropophager
       2        2     0.00   anwisning
       2        2     0.00   anwã
       2        2     0.00   apa
       2        2     0.00   apan
       1        0   100.00   apelles
       1        1     0.00   apor
       1        0   100.00   apoteket
       2        1    50.00   appetit
       1        0   100.00   april
       1        1     0.00   apspel
       1        0   100.00   arabien
       5        1    80.00   arbeta
       4        4     0.00   arbetade
       1        1     0.00   arbetades
       8        5    37.50   arbete
       3        1    66.67   arbeten
       1        0   100.00   arbetet
       1        1     0.00   arbetshus
       1        1     0.00   arbetz
       6        6     0.00   arck
       2        1    50.00   arf
       3        3     0.00   arfwingar
       2        0   100.00   arg
       3        1    66.67   argt
      49       15    69.39   argus
       3        3     0.00   aristoteles
       2        2     0.00   aristotelis
      16       16     0.00   ark
       4        4     0.00   arken
       1        1     0.00   arkens
      12       12     0.00   arket
       1        1     0.00   arks
       2        2     0.00   arktahls
       1        1     0.00   arktals
       3        2    33.33   arm
       3        1    66.67   arma
       1        1     0.00   armar
       2        2     0.00   armarne
       1        1     0.00   armeen
       1        0   100.00   armfã
       2        2     0.00   armod
       1        0   100.00   arrende
       2        1    50.00   arten
       1        1     0.00   arter
       3        2    33.33   artigt
       1        1     0.00   arts
       1        1     0.00   aset
       2        1    50.00   aslaug
       2        2     0.00   aslã
       1        1     0.00   aspelã
       4        4     0.00   assecurance
       4        4     0.00   assecurans
       2        2     0.00   assecurantz
       1        1     0.00   assuradeurerna
       1        1     0.00   atheist
       1        1     0.00   athenienserne
       1        1     0.00   atland
       1        0   100.00   atlantica
       5        5     0.00   att
       5        5     0.00   auctor
       1        1     0.00   auctoren
       1        1     0.00   auctorens
       4        4     0.00   auctorer
       1        1     0.00   auctorernes
       3        3     0.00   auctorers
       2        2     0.00   auctoritet
       1        0   100.00   audience
       2        1    50.00   aug
       1        1     0.00   auget
       1        1     0.00   augustus
       1        1     0.00   auscultant
       1        1     0.00   authoritet
       1        0   100.00   avance
       1        1     0.00   axel
       1        1     0.00   axlar
       4        4     0.00   axlarne
       2        2     0.00   axlen
       3        1    66.67   b
       1        1     0.00   backen
       4        4     0.00   bad
       1        1     0.00   badstugu
       1        0   100.00   bagare
       1        0   100.00   bagateller
       2        2     0.00   bahnen
       2        2     0.00   bak
       1        1     0.00   bakslug
       1        1     0.00   bakut
       1        1     0.00   balk
       1        1     0.00   bannades
       1        1     0.00   bannlysa
       1        0   100.00   bannomanien
       1        1     0.00   bannor
       2        0   100.00   banqueroute
       4        0   100.00   bar
       3        1    66.67   bara
       1        1     0.00   barbarie
       1        1     0.00   barbariske
       1        1     0.00   barde
       1        1     0.00   barmhertiga
      28       22    21.43   barn
       1        1     0.00   barnabarn
       1        1     0.00   barndom
       5        3    40.00   barnen
       2        1    50.00   barnet
       1        1     0.00   barnetuckt
       1        1     0.00   barnlek
       1        1     0.00   barnlekar
       2        2     0.00   barns
       1        0   100.00   barnsligit
       1        0   100.00   baroner
       1        1     0.00   basun
       1        1     0.00   bataille
       1        1     0.00   bebo
       1        1     0.00   beck
       2        2     0.00   beder
       5        5     0.00   bedia
       1        1     0.00   bediandes
       2        2     0.00   bedraga
       1        1     0.00   bedragande
       1        1     0.00   bedrager
       1        1     0.00   bedragne
       1        1     0.00   bedrog
       5        5     0.00   bedrã
       1        1     0.00   bedt
       1        0   100.00   beelzebub
       1        1     0.00   befallande
       1        0   100.00   befaller
       1        1     0.00   befallningar
       1        1     0.00   befallte
       1        1     0.00   befalt
       1        0   100.00   befann
       1        1     0.00   befinnes
       1        1     0.00   beflita
       1        1     0.00   beflitade
       1        0   100.00   beflã
       1        1     0.00   befodra
       1        1     0.00   befordrad
       1        1     0.00   befordrade
       1        1     0.00   befordran
       1        1     0.00   befordras
       1        1     0.00   befã
       1        0   100.00   begabba
       1        0   100.00   begabbar
       1        1     0.00   begabbare
       1        0   100.00   begabbat
       2        1    50.00   begaf
      12        8    33.33   begge
       1        1     0.00   beggedera
       1        1     0.00   begick
       1        1     0.00   begifwa
       1        1     0.00   begiã
       1        1     0.00   begrafwit
       7        3    57.14   begrep
       2        1    50.00   begrepen
       1        1     0.00   begrina
       3        2    33.33   begripa
       1        1     0.00   begripas
       1        0   100.00   begripit
       1        1     0.00   begripliga
       1        1     0.00   begrips
       1        1     0.00   begynna
       2        2     0.00   begynnelse
       2        2     0.00   begynnelsen
       2        2     0.00   begynt
      11       11     0.00   begynte
      14        9    35.71   begã
       6        5    16.67   behag
      11       10     9.09   behaga
       2        2     0.00   behagade
       1        1     0.00   behagar
       5        5     0.00   behagelig
       1        1     0.00   behageliga
       2        2     0.00   behageligheter
       4        4     0.00   behageligit
       1        1     0.00   behaglighets
       1        1     0.00   beherska
       1        1     0.00   behielpelig
      32       32     0.00   behã
       1        1     0.00   bekajade
       6        6     0.00   bekant
       4        4     0.00   bekante
       1        1     0.00   bekanter
       1        1     0.00   bekantskap
       1        1     0.00   bekantskapen
       3        3     0.00   bekantskaper
       2        2     0.00   beklaga
       2        2     0.00   beklagade
       2        2     0.00   beklagan
       4        4     0.00   beklagar
       1        1     0.00   beklageligen
       1        1     0.00   beklageligit
       3        3     0.00   beklã
       1        1     0.00   bekomma
       1        1     0.00   bekrã
       3        3     0.00   bekymmer
       1        1     0.00   bekymmersam
       3        3     0.00   bekymra
       3        3     0.00   bekymrad
       3        3     0.00   bekymrar
       1        1     0.00   bekymrat
       1        1     0.00   bekymren
       4        4     0.00   bekã
       1        1     0.00   belagde
       2        2     0.00   belefwad
       1        1     0.00   beltiska
      19       16    15.79   belã
       2        2     0.00   bemã
       7        6    14.29   ben
       1        1     0.00   benediction
       4        4     0.00   benen
