UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   63345   Words
   30357   Misrecognized
   52.08%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     784       64    91.84        1
    1364      368    73.02        2
     624      165    73.56        3
     330      104    68.48        4
    3102      701    77.40    Total

Non-stopwords
   Count   Missed   %Right   Length
   11737      732    93.76        1
   12299     2734    77.77        2
   12331     6026    51.13        3
    7931     6133    22.67        4
    6119     4814    21.33        5
    4160     3749     9.88        6
    2423     2291     5.45        7
    1500     1458     2.80        8
     853      842     1.29        9
     485      473     2.47       10
     210      210     0.00       11
     122      121     0.82       12
      47       47     0.00       13
      21       21     0.00       14
       5        5     0.00       15
   60243    29656    50.77    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   25247    19860    21.34        1
    4005     1851    53.78        2
    1616      411    74.57        3
     758      126    83.38        4
     509       49    90.37        5
     265       36    86.42        6
     187       17    90.91        7
     123        4    96.75        8
     104        1    99.04        9
      53        1    98.11       10
     565       10    98.23      >10
   33432    22366    33.10    Total

Phrases
   Count   Missed   %Right   Length
   63345    30357    52.08        1
   63155    45158    28.50        2
   62965    52986    15.85        3
   62775    57137     8.98        4
   62585    59366     5.14        5
   62395    60559     2.94        6
   62205    61122     1.74        7
   62015    61341     1.09        8

Stopwords
   Count   Missed   %Right   
     150       26    82.67   a
      28       16    42.86   all
      94       46    51.06   an
       4        3    25.00   are
      15       12    20.00   as
     764       68    91.10   at
      34       15    55.88   be
       3        3     0.00   by
       1        1     0.00   do
       8        4    50.00   for
       5        5     0.00   get
       3        2    33.33   he
       6        6     0.00   him
     634       38    94.01   i
     229       61    73.36   in
      12       10    16.67   is
      33       21    36.36   it
      12       12     0.00   like
     344       63    81.69   man
       3        3     0.00   may
      42       29    30.95   me
       2        2     0.00   more
       8        7    12.50   no
       9        8    11.11   of
      41       28    31.71   on
      29       21    27.59   or
       1        1     0.00   so
     221       60    72.85   the
      59       19    67.80   them
     247       61    75.30   then
       8        5    37.50   to
       1        1     0.00   too
      14       12    14.29   up
      13        9    30.77   us
       4        4     0.00   was
      11        9    18.18   we
      10       10     0.00   will

Non-stopwords
   Count   Missed   %Right   
       4        4     0.00   aak
       2        2     0.00   ab
       1        1     0.00   abjicite
       5        5     0.00   abå
       1        1     0.00   academien
       1        1     0.00   accenditur
       5        5     0.00   accurat
       4        4     0.00   accã
       1        1     0.00   achille
      15       15     0.00   acht
       6        6     0.00   achta
       4        4     0.00   achtar
       2        2     0.00   achtat
       1        1     0.00   achte
       2        2     0.00   achtig
       2        2     0.00   achtigt
       1        1     0.00   achtmodig
       4        4     0.00   achtmodige
       5        5     0.00   ack
       3        3     0.00   acontias
       1        1     0.00   ad
       1        0   100.00   adam
      27       25     7.41   ade
       3        3     0.00   adelen
       4        4     0.00   adeln
       1        1     0.00   adels
       1        1     0.00   adelsman
       2        2     0.00   adelã
       2        2     0.00   ades
       1        1     0.00   adjec
       2        2     0.00   adolphs
       3        3     0.00   adwo
       4        4     0.00   adâ
       1        1     0.00   ae
     448       48    89.29   af
