UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   63175   Words
   59513   Misrecognized
    5.80%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     875      715    18.29        1
    1050      803    23.52        2
     525      449    14.48        3
     175      175     0.00        4
    2625     2142    18.40    Total

Non-stopwords
   Count   Missed   %Right   Length
    3150     2190    30.48        1
   14000    12392    11.49        2
   14700    14213     3.31        3
    9800     9779     0.21        4
    8925     8826     1.11        5
    4025     4025     0.00        6
    2800     2800     0.00        7
     700      700     0.00        8
     700      700     0.00        9
     875      874     0.11       10
     875      872     0.34       11
   60550    57371     5.25    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   26075    25731     1.32        1
    5075     4818     5.06        2
    1225     1087    11.27        3
    1050      761    27.52        4
     525      408    22.29        5
     175      162     7.43        6
     525      373    28.95        7
     700      294    58.00        8
     175      157    10.29        9
     175       33    81.14      >10
   35700    33824     5.25    Total

Phrases
   Count   Missed   %Right   Length
   63175    59513     5.80        1
   63000    62692     0.49        2
   62825    62798     0.04        3
   62650    62650     0.00        4
   62475    62475     0.00        5
   62300    62300     0.00        6
   62125    62125     0.00        7
   61950    61950     0.00        8

Stopwords
   Count   Missed   %Right   
     875      645    26.29   at
     875      715    18.29   i
     175      158     9.71   in
     175      175     0.00   just
     525      449    14.48   man

Non-stopwords
   Count   Missed   %Right   
     175      175     0.00   afmã
     175      175     0.00   aldeles
     350      338     3.43   alla
     175      169     3.43   alt
     175      175     0.00   altfã
     175      174     0.57   altid
     175      174     0.57   andra
     175      175     0.00   anletes
     525      516     1.71   argus
     175      175     0.00   auctor
     175      175     0.00   behageliga
     175      175     0.00   betekna
     175      175     0.00   betyder
     175      175     0.00   bilder
     175      173     1.14   bli
     175      174     0.57   blir
     175      175     0.00   boken
     175      175     0.00   cka
     175      175     0.00   dag
     175      175     0.00   dagar
     175      175     0.00   dda
     175      175     0.00   ddhã
     875      788     9.94   de
     350      347     0.86   dem
     350      325     7.14   den
     175      172     1.71   denna
     175      175     0.00   deras
     175      175     0.00   dessa
    1400     1286     8.14   det
     175      175     0.00   dierfhet
     175      175     0.00   dock
     175      175     0.00   drar
     175      175     0.00   dref
     175      175     0.00   dzel
     175      173     1.14   ehrenmenvet
     350      343     2.00   eller
     175      174     0.57   emot
    1400     1155    17.50   en
     175      154    12.00   ett
     175      175     0.00   fiender
     175      175     0.00   fiohl
     175      175     0.00   folck
     175      175     0.00   folcket
     175      175     0.00   folket
     350      349     0.29   framt
     175      175     0.00   frisprã
     175      175     0.00   fritalighet
     175      175     0.00   fruckta
     350      333     4.86   frã
     175      175     0.00   fuller
    1400      790    43.57   fã
     175      163     6.86   ga
     175      175     0.00   gade
     175      175     0.00   galant
     175      175     0.00   gde
     175      173     1.14   gga
     175      175     0.00   gierna
     175      175     0.00   gifwit
     175      175     0.00   giordt
     175      169     3.43   giã
     175      174     0.57   glã
     175      175     0.00   goda
     175      175     0.00   godt
     175      173     1.14   gonen
     175      173     1.14   got
     700      696     0.57   gra
     175      175     0.00   granlaga
     175      175     0.00   grann
     175      175     0.00   gud
     175      139    20.57   gã
     350      337     3.71   ha
     525      525     0.00   hade
     175      175     0.00   hafwa
    1225     1174     4.16   han
     175      175     0.00   hand
     350      349     0.29   hans
     175      169     3.43   har
     700      700     0.00   herr
     175      174     0.57   herre
     175      174     0.57   hiernbrott
     175      174     0.57   hiernbrotts
     175      175     0.00   hiertskott
     175      175     0.00   hofbuss
     175      175     0.00   homme
     525      514     2.10   honom
     175      175     0.00   hunden
     175      175     0.00   hurtiga
     175      175     0.00   huru
     350      350     0.00   hwad
     175      175     0.00   hwilket
     525      525     0.00   icke
     175      175     0.00   illmenande
     175      175     0.00   insikt
     875      819     6.40   intet
     350      323     7.71   jag
     175      175     0.00   kade
     175      175     0.00   kalla
     175      175     0.00   kanskie
     175      175     0.00   kare
     175      175     0.00   kert
     175      175     0.00   krigsbussen
     175      175     0.00   krigsman
     350      345     1.43   kã
     350      305    12.86   l
     175      175     0.00   lappris
     175      175     0.00   lar
     175      172     1.71   lenge
     350      350     0.00   lika
     175      175     0.00   llande
     175      175     0.00   ller
     350      350     0.00   llskap
     175      175     0.00   lunda
     525      471    10.29   lã
     175      175     0.00   magister
     175      175     0.00   maneret
     700      695     0.71   med
     525      431    17.90   men
     175      175     0.00   mercurius
     350      323     7.71   mig
     175      175     0.00   missfã
     350      350     0.00   misstã
     175      175     0.00   mod
     175      175     0.00   munn
     175      175     0.00   myndig
     175      108    38.29   mã
     175      120    31.43   n
     175      175     0.00   ncka
     175      175     0.00   nkt
    1225     1110     9.39   nã
    1575     1552     1.46   och
     175      175     0.00   ock
     175      132    24.57   om
     350      350     0.00   omdã
     175      175     0.00   ord
     175      175     0.00   orden
     350      350     0.00   oss
     175      175     0.00   pennan
     175      175     0.00   pman
     175      174     0.57   prã
     700      642     8.29   pã
    1925     1575    18.18   r
     175      156    10.86   ra
     175      175     0.00   rande
     175      175     0.00   rbehã
     350      342     2.29   ro
     175      175     0.00   rsiktighet
     350      337     3.71   rt
     175      175     0.00   rtreffeliga
     700      624    10.86   rã
     175      172     1.71   sa
     875      875     0.00   sade
     175      175     0.00   sagt
     175      175     0.00   sak
     350      350     0.00   saker
     175      174     0.57   sam
     350      348     0.57   samma
     350      346     1.14   se
     350      350     0.00   sedan
     175      175     0.00   sedolã
     175      175     0.00   sedt
     175      175     0.00   sende
     175      172     1.71   sig
     175      175     0.00   sin
     175      175     0.00   sina
     175      175     0.00   sinnad
     175      174     0.57   sitt
     175      175     0.00   skakat
     175      175     0.00   skal
     175      175     0.00   skarpsynt
     175      175     0.00   skiã
     175      175     0.00   slug
     175      173     1.14   slã
    1050     1037     1.24   som
     175      174     0.57   st
     350      350     0.00   stor
     175      171     2.29   stã
    1400     1357     3.07   sã
     175      175     0.00   talade
     175      175     0.00   teckelset
     175      175     0.00   teg
     175      154    12.00   til
     175      175     0.00   titul
     175      175     0.00   tordes
     175      175     0.00   torkade
     175      173     1.14   ttare
     175      170     2.86   tte
     175      175     0.00   ttiga
     350      349     0.29   ty
     175      175     0.00   tyska
     175      175     0.00   undan
     175      175     0.00   under
     175      175     0.00   upmuntrat
     175      175     0.00   upsyn
     350      349     0.29   ur
     350      292    16.57   ut
     525      524     0.19   war
     175      171     2.29   wara
     175      174     0.57   weta
     175      175     0.00   weten
     350      348     0.57   wi
     175      175     0.00   widriga
    1225     1191     2.78   wã
     175      175     0.00   ye
     700      190    72.86   ã
