UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   55042   Words
       0   Misrecognized
  100.00%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     623        0   100.00        1
     744        0   100.00        2
     460        0   100.00        3
     139        0   100.00        4
    1966        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
    7716        0   100.00        1
    8621        0   100.00        2
   10752        0   100.00        3
    6870        0   100.00        4
    5721        0   100.00        5
    4137        0   100.00        6
    2710        0   100.00        7
    1845        0   100.00        8
    1354        0   100.00        9
     992        0   100.00       10
     696        0   100.00       11
     489        0   100.00       12
     330        0   100.00       13
     207        0   100.00       14
     160        0   100.00       15
     106        0   100.00       16
      88        0   100.00       17
      52        0   100.00       18
      51        0   100.00       19
      47        0   100.00       20
      21        0   100.00       21
      19        0   100.00       22
      25        0   100.00       23
      18        0   100.00       24
       9        0   100.00       25
       7        0   100.00       26
       8        0   100.00       27
       6        0   100.00       28
       5        0   100.00       29
       2        0   100.00       30
       1        0   100.00       31
       1        0   100.00       33
       2        0   100.00       34
       1        0   100.00       35
       2        0   100.00       36
       1        0   100.00       37
       1        0   100.00       38
       1        0   100.00       41
       1        0   100.00       48
       1        0   100.00       50
   53076        0   100.00    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   34453        0   100.00        1
    2674        0   100.00        2
     919        0   100.00        3
     441        0   100.00        4
     257        0   100.00        5
     181        0   100.00        6
     105        0   100.00        7
      71        0   100.00        8
      56        0   100.00        9
      48        0   100.00       10
     222        0   100.00      >10
   39427        0   100.00    Total

Phrases
   Count   Missed   %Right   Length
   55042        0   100.00        1
   54844        0   100.00        2
   54646        0   100.00        3
   54448        0   100.00        4
   54250        0   100.00        5
   54052        0   100.00        6
   53854        0   100.00        7
   53656        0   100.00        8

Stopwords
   Count   Missed   %Right   
     133        0   100.00   a
      31        0   100.00   all
     115        0   100.00   an
       2        0   100.00   and
      19        0   100.00   are
      38        0   100.00   as
     350        0   100.00   at
      19        0   100.00   be
       1        0   100.00   can
       4        0   100.00   do
      70        0   100.00   for
       5        0   100.00   get
       1        0   100.00   had
       5        0   100.00   has
       6        0   100.00   he
       6        0   100.00   her
       1        0   100.00   him
     490        0   100.00   i
      10        0   100.00   if
      63        0   100.00   in
      34        0   100.00   is
      20        0   100.00   it
       1        0   100.00   just
       2        0   100.00   like
     193        0   100.00   man
       2        0   100.00   many
       6        0   100.00   may
