"('e', 'n', '\n')",115622
"('r', 'n', 'a')",87591
"('i', 'n', 'g')",85181
"('n', 's', '\n')",73323
"('a', 'r', 'n')",71291
"('e', 's', '\n')",71237
"('e', 'n', 's')",70116
"('t', 'e', 'r')",64426
"('a', 's', '\n')",63485
"('n', 'a', '\n')",62939
"('e', 'r', 'n')",57794
"('a', 'n', 'd')",56699
"('n', 'd', 'e')",54516
"('n', 'i', 'n')",53386
"('e', 'r', '\n')",51081
"('r', 'n', 'e')",48590
"('g', 'a', 'r')",47663
"('s', '\n', 's')",46576
"('a', 'r', 'e')",44984
"('s', 't', 'e')",43416
"('e', 't', '\n')",42912
"('t', 's', '\n')",42719
"('t', 'e', 'n')",42359
"('n', 'a', 's')",41225
"('f', 'ö', 'r')",40723
"('a', 'r', '\n')",40565
"('a', 'd', 'e')",37283
"('g', 'e', 'n')",36087
"('d', 'e', '\n')",35996
"('r', 's', '\n')",35458
"('a', 's', 't')",34577
"('d', 'e', 'n')",34430
"('s', 'k', 'a')",34100
"('d', 'e', 'r')",33813
"('n', 'g', 'a')",33418
"('e', 'r', 's')",33281
"('s', '\n', 'b')",32554
"('\n', 's', 't')",31300
"('n', 'e', '\n')",29956
"('s', '\n', 'f')",29902
"('l', 'i', 'g')",29517
"('e', 'r', 'a')",29035
"('\n', 'f', 'ö')",28132
"('r', 'e', 'n')",27902
"('s', 't', 'a')",27412
"('n', 'g', 's')",26888
"('i', 'g', 'a')",26459
"('k', 'a', 'r')",25973
"('e', 't', 's')",25780
"('n', 'g', 'e')",25616
"('\n', 's', 'k')",25453
"('\n', 'b', 'e')",24760
"('n', 'e', 's')",24132
"('v', 'e', 'r')",23991
"('r', 'e', '\n')",23985
"('a', 'n', 's')",23378
"('l', 'a', 'r')",23341
"('s', '\n', 'k')",22552
"('n', '\n', 's')",22415
"('t', 't', 'e')",21784
"('r', 'e', 's')",21740
"('i', 's', 'k')",21738
"('l', 'a', 'n')",21260
"('d', 'e', 's')",21044
"('a', 'n', '\n')",21008
"('n', 'e', 'r')",20468
"('s', 't', 'r')",20219
"('t', 'a', 'r')",19741
"('r', 'i', 'n')",19496
"('s', '\n', 't')",19388
"('i', 'o', 'n')",19294
"('r', 'a', 'n')",19139
"('s', '\n', 'a')",19039
"('n', 'g', '\n')",19031
"('a', '\n', 's')",18949
"('\n', 'k', 'o')",18928
"('\n', 'i', 'n')",18925
"('s', '\n', 'h')",18697
"('o', 'r', 'n')",18428
"('i', 'l', 'l')",18010
"('e', 'r', 'i')",17491
"('m', 'a', 'n')",17482
"('e', 'l', 's')",17363
"('t', 'o', 'r')",17308
"('a', 'r', 's')",17251
"('e', '\n', 's')",17024
"('u', 'n', 'd')",16998
"('i', 's', 't')",16896
"('v', 'a', 'r')",16867
"('t', 'i', 'o')",16699
"('s', 'k', 'o')",16620
"('s', 'e', 'r')",16404
"('r', '\n', 's')",16393
"('\n', 'f', 'r')",16324
"('r', 'a', 'd')",16286
"('\n', 'b', 'o')",16075
"('e', 'n', 't')",16058
"('f', 'v', 'e')",16031
"('l', 'i', 'n')",15915
"('s', '\n', 'p')",15879
"('\n', 'k', 'a')",15749
"('k', 'e', 'n')",15742
"('s', 'e', 'n')",15698
"('l', 'e', 'n')",15454
"('\n', 'h', 'a')",15450
"('a', 't', 't')",15355
"('g', 'a', 's')",15348
"('a', 'l', 'l')",15254
"('m', 'a', 'r')",15237
"('h', 'e', 't')",15140
"('n', 's', 't')",15059
"('l', 'l', 'e')",15033
"('t', '\n', 's')",15023
"('\n', 't', 'r')",15012
"('\n', 'a', 'f')",14912
"('o', 'n', 's')",14907
