Average:	 WordAccuracy: 0.368755241811397 	 CharacterAccuracy: 0.368755241811397 
argus_ed_pg_a0098.txt 	 WordAccuracy: 0.3489208633093525 	 CharacterAccuracy: 0.8235664776307499"\n 
argus_ed_pg_a0067.txt 	 WordAccuracy: 0.28378378378378377 	 CharacterAccuracy: 0.6863905325443787"\n 
argus_ed_pg_a0107.txt 	 WordAccuracy: 0.5384615384615384 	 CharacterAccuracy: 0.8600114744693058"\n 
argus_ed_pg_a0106.txt 	 WordAccuracy: 0.3670212765957447 	 CharacterAccuracy: 0.6779059449866903"\n 
argus_ed_pg_a0112.txt 	 WordAccuracy: 0.4892086330935252 	 CharacterAccuracy: 0.8486005089058524"\n 
argus_ed_pg_a0072.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.0"\n 
argus_ed_pg_a0066.txt 	 WordAccuracy: 0.35374149659863946 	 CharacterAccuracy: 0.7737665463297232"\n 
argus_ed_pg_a0099.txt 	 WordAccuracy: 0.43962848297213625 	 CharacterAccuracy: 0.8471372984991662"\n 
argus_ed_pg_a0058.txt 	 WordAccuracy: 0.2491349480968858 	 CharacterAccuracy: 0.6784409257003654"\n 
argus_ed_pg_a0070.txt 	 WordAccuracy: 0.2791519434628975 	 CharacterAccuracy: 0.8151311775472849"\n 
argus_ed_pg_a0064.txt 	 WordAccuracy: 0.330188679245283 	 CharacterAccuracy: 0.8311897106109325"\n 
argus_ed_pg_a0138.txt 	 WordAccuracy: 0.36015325670498083 	 CharacterAccuracy: 0.819672131147541"\n 
argus_ed_pg_a0104.txt 	 WordAccuracy: 0.3624454148471616 	 CharacterAccuracy: 0.8328591749644382"\n 
argus_ed_pg_a0110.txt 	 WordAccuracy: 0.43416370106761565 	 CharacterAccuracy: 0.843065693430657"\n 
argus_ed_pg_a0111.txt 	 WordAccuracy: 0.4536741214057508 	 CharacterAccuracy: 0.8325608342989571"\n 
argus_ed_pg_a0139.txt 	 WordAccuracy: 0.39603960396039606 	 CharacterAccuracy: 0.8277008310249307"\n 
argus_ed_pg_a0071.txt 	 WordAccuracy: 0.24242424242424243 	 CharacterAccuracy: 0.6874500399680256"\n 
